AGE,YEARS_OF_EXPERIENCE,CURRENT_SALARY
40,8,60991
30,1,101159
49,27,154652
35,8,53010
48,25,79102
39,2,108143
63,15,156742
62,23,175441
27,5,110209
54,32,61146
58,32,121055
63,37,37841
46,14,182346
34,2,80562
44,3,71789
57,5,145643
54,28,109070
42,0,167499
55,32,127742
57,18,142210
38,16,66792
31,0,83494
44,2,37460
23,1,76552
56,16,171089
35,4,189889
62,34,128772
23,0,66568
40,5,85371
37,3,149193
64,28,111588
46,11,70141
22,0,75375
23,1,32411
48,16,137770
23,1,44811
51,14,106411
31,0,30353
40,17,161224
63,11,72219
37,1,174875
34,12,82996
29,0,186858
52,8,31843
46,17,40910
60,2,111859
42,13,84177
59,30,97226
62,20,34879
50,15,39873
27,5,162810
39,2,78939
56,11,34907
48,26,141173
26,1,185223
28,3,176104
31,9,135102
31,1,48716
49,9,140080
57,25,107266
31,1,150276
56,5,32096
56,10,43819
58,32,63632
41,15,196398
34,10,191407
32,9,171157
40,8,116528
49,25,43470
59,10,66414
25,3,97682
58,35,171594
40,16,95328
58,9,163813
35,7,139555
52,23,44408
49,24,45065
57,25,74373
59,37,51976
40,15,139027
63,40,120575
22,0,58240
44,8,144795
49,1,120734
25,2,126737
62,14,169586
39,3,86371
60,16,108801
46,2,83956
39,13,90532
27,0,190303
40,11,191245
33,6,36235
46,1,175082
56,31,168641
22,0,178447
26,1,150283
22,0,58076
29,4,121196
60,35,118069
64,35,110129
39,7,155112
30,5,191393
26,3,67213
25,2,94044
50,3,178878
22,0,45859
51,18,96849
22,0,131721
24,0,199214
43,9,104204
29,0,144440
39,13,73541
46,22,181588
41,9,113057
52,26,91240
51,19,57095
37,12,34828
23,1,184508
38,7,140307
31,4,41321
28,4,52537
63,27,172151
30,0,115241
38,8,96206
30,7,133011
30,8,161228
58,19,124562
45,4,90107
60,4,56870
32,7,165668
29,0,106786
46,4,152622
23,1,81779
31,1,66965
45,12,158160
37,4,116079
40,5,154745
52,29,188777
32,5,121974
27,4,102190
27,1,146042
53,26,162419
60,17,129614
34,8,35501
24,2,60930
62,8,89307
56,0,67789
59,32,82769
38,7,91164
24,1,105985
55,25,188285
33,8,38916
45,22,81024
27,4,154857
63,14,38841
32,9,176041
48,1,117136
45,13,35348
39,4,51912
48,8,32597
62,25,83156
42,15,148505
55,9,168986
54,28,67287
39,2,188269
24,1,30050
45,0,142601
22,0,60011
27,0,190617
40,9,34426
43,2,100684
64,13,148790
29,1,177986
26,4,86481
30,3,69894
42,11,194691
49,21,164899
25,1,123277
45,6,120816
29,6,173918
38,3,38661
55,14,105071
41,6,180896
37,15,44706
31,6,70335
55,0,52013
64,21,92655
31,2,191228
51,7,33455
51,1,169805
46,8,154319
64,20,60773
62,35,91999
28,4,151698
41,3,43952
38,12,177429
24,1,158526
61,1,179378
57,10,149792
47,11,48223
31,4,74309
55,19,64114
35,7,129008
29,2,199488
48,8,192921
31,1,101384
36,9,80989
58,6,45001
43,13,173062
52,10,77906
23,0,190475
52,27,119916
35,3,167379
31,4,185525
51,8,101740
57,1,197375
61,36,70608
36,6,33494
35,6,120461
52,27,35429
50,2,87781
48,15,141961
42,15,121927
30,1,84801
41,16,31289
56,8,146249
36,11,84016
45,8,88690
37,1,189168
57,34,157875
32,8,87454
29,0,52145
24,1,99341
40,14,93300
62,35,141520
24,0,70308
57,6,98903
46,8,168422
57,5,153897
32,7,100671
37,8,184442
38,13,160875
63,33,52347
45,3,127271
38,7,171614
41,10,59252
43,19,138280
27,1,41554
28,3,111223
35,10,151152
32,6,125413
33,4,79071
26,4,141384
26,3,103773
41,19,170094
36,10,78374
47,17,61426
54,15,74641
51,22,72196
45,18,101742
44,12,63039
30,8,112615
24,1,191272
57,19,105179
28,4,156682
43,12,48568
35,9,93094
50,9,154970
37,2,132251
55,20,68500
31,5,112575
28,4,50111
46,8,79440
48,10,113648
36,12,69997
53,3,195911
49,3,157271
30,1,77499
28,4,98916
37,4,105510
47,23,164576
56,11,126945
38,1,36344
44,21,151607
29,7,194663
23,1,40534
52,7,114720
53,24,176466
50,28,198756
24,2,82033
29,0,197132
23,1,197008
52,3,152837
58,4,48227
41,15,139483
50,2,112827
38,13,140205
31,0,65700
62,14,137157
43,19,90813
27,4,74193
64,35,32554
55,25,64810
52,6,40228
33,6,127914
33,5,192034
37,7,183136
46,13,128318
43,20,39424
48,4,132937
45,3,119202
33,8,171262
39,8,139840
37,10,86032
25,2,97747
33,9,130403
54,3,109417
43,12,188068
39,15,160778
54,0,78478
48,1,57925
63,1,191600
40,18,198267
35,4,138559
46,4,124819
55,19,143106
45,16,49810
59,37,42781
44,8,67690
26,1,95816
57,3,73395
45,9,190493
57,24,177419
26,3,67087
60,17,181702
27,5,157293
57,35,198092
25,3,196316
31,6,149180
22,0,187389
42,13,149626
61,3,192010
60,20,154047
58,27,132502
24,1,38447
52,5,159089
48,0,36014
38,9,104339
44,10,163882
34,6,143895
48,11,194006
41,15,166683
34,12,115455
45,14,42665
62,21,80197
24,2,47162
64,1,83135
31,9,87173
22,0,163511
34,12,38134
35,4,79948
54,20,149916
23,0,160262
23,0,176244
60,32,128272
62,38,73055
52,0,124845
25,3,197370
55,8,73896
40,7,67300
58,23,178566
30,4,84648
45,12,148198
34,6,163883
51,25,108065
40,4,58983
62,40,115189
31,2,104786
63,26,178948
35,5,102867
61,18,86348
41,1,66094
25,0,98634
59,25,90722
60,21,196198
26,4,132652
63,38,130956
53,22,156229
27,1,114319
35,0,197069
27,0,50717
35,11,137311
33,10,188919
48,13,108470
47,5,192828
33,2,46586
29,1,179101
31,2,198788
37,4,66677
47,9,47259
29,2,111815
62,28,60181
50,13,64982
41,15,87534
38,15,42225
40,9,56906
38,12,172909
60,8,58350
22,0,128445
50,19,87158
35,1,96252
38,12,112615
34,0,190912
50,3,176592
55,5,62869
48,5,156560
54,17,32071
50,22,106025
58,6,130331
60,5,149421
40,11,168549
45,16,156734
35,13,53886
58,16,30004
26,4,123796
45,16,78233
55,24,184843
52,1,145826
51,0,115056
30,8,143583
48,0,104401
49,3,130030
63,30,147176
47,18,105564
39,16,30872
57,25,139630
29,7,116610
39,15,33965
41,17,51242
53,8,167752
50,6,51285
39,2,108692
28,1,182861
22,0,63511
49,14,37687
54,0,40195
25,2,175755
41,14,91057
57,8,88084
52,22,106710
59,26,84713
49,25,179626
24,1,36146
27,1,81749
44,20,160869
28,6,90228
57,27,140782
22,0,109349
27,1,48657
45,23,151087
58,7,186930
57,10,53764
45,1,31657
59,13,87668
50,16,199355
58,16,109219
53,14,127088
46,23,116293
31,7,164235
56,21,109128
46,7,40939
48,13,123755
53,22,164030
33,11,73818
25,3,194334
63,34,90848
47,1,145803
24,1,151707
38,11,155264
30,2,121421
50,11,119009
22,0,166790
39,16,76414
62,11,75932
41,9,184974
62,8,168547
55,7,142100
49,21,134884
56,14,103923
37,10,176574
42,8,98195
34,5,81327
56,17,92125
63,3,40287
53,2,56337
59,27,40042
27,2,191106
59,19,78173
59,23,180511
34,4,104341
60,29,165298
34,5,47076
33,11,164387
54,9,76060
49,27,54601
24,0,143825
39,2,31076
47,3,144700
61,8,148895
23,0,146109
25,1,59801
49,22,127666
49,14,99542
46,9,89654
47,24,113234
23,1,181674
63,39,145954
55,5,106238
51,14,188373
42,14,129668
58,25,142886
44,6,52486
54,15,190392
23,1,54156
48,20,144466
43,20,69694
55,10,40583
37,15,81090
41,5,41563
47,0,162315
37,6,121211
27,4,78340
44,17,123114
63,24,102801
58,10,62848
29,1,170896
27,3,177704
58,22,189257
43,0,45280
27,5,168144
53,3,65944
38,2,142999
59,24,86214
38,7,170976
58,2,136550
44,8,111430
34,5,186465
53,12,146521
43,1,130275
28,3,148405
43,19,179154
42,7,53277
27,2,54808
35,11,192013
37,4,141037
24,1,147991
30,3,133965
42,10,152082
51,27,131434
51,7,148020
63,19,61491
63,0,114640
53,2,148384
44,22,89817
24,2,45314
22,0,149224
24,2,180848
58,4,128955
28,5,140197
24,1,98797
57,28,111640
24,1,139961
25,2,69280
52,16,85889
23,0,33225
35,13,177383
58,27,75606
52,11,195699
23,0,158283
52,8,120889
64,16,198882
43,8,115955
31,5,191922
51,8,43846
54,16,53260
40,13,100501
46,1,125438
22,0,33506
53,23,83967
46,22,132841
62,4,185446
38,15,145195
35,9,100516
34,9,117290
59,13,79487
60,28,184000
23,0,139101
53,0,145679
53,20,163926
61,15,70785
27,5,195095
46,19,52726
24,0,39735
39,4,157958
59,34,149339
64,29,143180
24,2,103711
26,4,186629
45,21,199520
55,16,121182
60,34,124863
45,23,136034
57,24,164764
49,25,85561
55,27,138549
37,4,78999
57,3,128422
28,2,95909
39,10,117495
27,3,122810
49,18,142137
60,8,142400
55,30,179969
62,6,66253
50,8,78378
25,3,194451
35,10,192793
26,1,148242
46,8,116412
60,24,140522
29,3,118303
36,0,150582
40,2,186126
32,9,116344
41,17,122072
57,24,110354
39,8,50164
35,2,69631
59,17,77934
46,4,150476
37,6,161366
39,17,157651
22,0,81467
61,37,41117
22,0,48731
22,0,185617
42,16,149004
46,7,122114
48,7,97281
31,9,119244
33,1,153038
49,4,34828
53,7,70898
54,31,59030
29,0,115816
63,25,167892
47,5,151030
63,36,125823
62,13,108022
23,0,158314
56,33,38000
55,32,183171
27,0,93306
52,22,84825
44,18,179282
33,8,136089
49,6,150624
36,2,65171
40,4,163424
33,1,128010
23,0,123850
32,1,38741
58,0,122494
59,11,106227
46,7,38738
64,11,136227
42,0,170314
63,1,149577
57,4,175531
30,8,176413
33,6,32084
31,7,137270
26,3,56522
54,24,113934
26,0,40708
37,1,186256
58,1,45381
58,32,126551
50,26,179861
39,17,51198
50,25,53418
27,5,145031
39,15,61201
53,24,58920
63,7,61635
52,0,86779
32,8,52647
47,2,131980
49,26,124536
48,9,80909
40,6,65405
48,11,172981
41,12,44712
24,0,141715
37,9,59293
60,3,53880
50,23,143721
36,3,96690
51,28,52799
61,35,71305
22,0,65317
50,10,181508
51,20,140934
61,15,118130
53,5,155787
31,9,132057
48,16,177300
29,0,102639
57,30,168600
63,17,169474
56,26,143070
57,35,45705
57,8,186995
46,6,91997
41,10,190132
38,9,185958
44,13,136008
46,18,71771
52,10,183665
27,5,128101
56,6,137570
25,0,160615
61,0,159527
41,6,188774
62,1,103494
22,0,101561
47,24,44780
55,25,65546
31,2,72346
44,0,118642
45,11,160724
34,4,57704
50,10,32794
48,23,45395
52,18,31319
64,24,106201
31,7,189594
52,26,80321
60,4,93092
31,5,127135
45,0,72893
54,2,85955
35,6,179968
56,27,111732
55,24,167071
38,13,144311
42,8,148081
53,5,178261
24,0,52752
36,0,106592
29,6,83007
53,23,66810
59,19,123748
47,2,117019
51,22,182952
30,1,161385
53,14,192554
32,4,138734
43,0,70385
55,28,99254
62,34,90313
39,10,107430
40,3,137779
39,12,49778
58,17,130264
39,15,35945
33,0,163614
25,0,122506
64,23,185448
48,24,192950
26,4,137824
27,1,99560
34,6,113723
44,13,85915
63,35,139435
46,6,109870
25,2,156476
53,9,87270
36,6,136485
47,17,155078
63,36,161438
32,9,179189
30,6,165470
32,2,126925
23,1,184683
48,19,159574
47,14,154696
29,0,71862
42,16,108383
42,7,161414
29,6,125070
22,0,112787
59,30,123659
34,8,117841
30,7,109206
49,25,39493
27,4,107916
44,2,70499
57,23,154567
38,0,153094
30,5,188284
33,9,67469
43,13,134644
33,2,192513
27,2,154328
30,7,75573
58,4,115076
24,2,58998
55,29,134907
29,6,41289
31,0,182655
62,38,199952
63,15,135179
64,8,168619
30,0,161951
35,1,37313
58,8,100329
48,13,38064
62,22,86847
53,29,187170
25,1,95541
23,1,49707
54,0,197766
42,9,37564
22,0,144027
32,8,70016
22,0,157498
32,9,119462
28,2,115833
23,0,122201
36,1,104998
29,7,157565
47,11,51414
61,21,52897
63,32,73082
56,20,130019
62,7,54846
62,29,132868
42,15,142703
59,29,86619
29,4,113227
64,5,30320
53,8,195599
29,7,81121
31,4,50320
44,12,40058
25,1,48223
59,4,122633
51,3,122404
62,34,175307
44,21,95729
26,4,88384
42,4,47545
27,2,105348
38,2,48451
46,19,162887
45,22,165365
43,18,85859
34,6,172325
38,4,93242
35,6,97562
55,17,132985
47,5,195789
40,5,102748
47,4,137054
24,2,154948
23,1,174946
49,10,31179
23,0,168432
43,14,169968
28,0,86652
25,2,55862
59,23,106889
60,17,99770
41,4,178683
27,0,199647
30,8,193084
52,11,145452
47,21,143951
57,18,178941
47,11,55548
49,15,113262
26,0,137753
31,5,193527
39,13,182529
36,12,77194
54,32,111008
26,1,195738
58,0,167404
61,36,143802
43,4,132461
43,4,39971
43,11,178964
36,7,106745
38,0,70715
49,22,47636
43,18,49650
42,0,39399
63,3,170827
38,2,198130
26,3,82205
39,7,187509
38,10,166753
25,3,30462
28,2,95508
46,1,91766
58,29,189493
61,10,113226
61,13,39504
64,8,97316
30,4,59840
40,15,78211
30,2,41898
44,16,135009
52,5,118811
53,20,78960
52,28,168801
38,8,72306
60,0,78609
43,1,158298
56,5,48849
51,15,113598
61,33,73202
58,33,56403
47,5,105063
27,1,192445
55,16,183085
53,28,98157
46,7,70619
34,1,55925
59,8,80228
59,26,170224
23,0,178052
26,3,182847
32,8,138962
32,5,154639
45,0,75534
35,7,74419
51,2,116967
61,3,196624
56,22,52000
42,17,45956
26,0,155875
59,5,113251
23,0,139909
61,36,32662
58,23,138097
55,0,47128
32,9,140644
57,11,149017
32,7,31779
30,1,62107
27,5,68537
55,5,99651
58,20,65918
53,11,95911
33,6,94280
53,5,64077
38,1,102578
25,2,171815
63,14,111777
54,28,152902
64,3,80672
64,36,133112
30,2,37081
55,12,133706
60,2,74577
51,1,116157
41,14,31895
60,4,69505
44,13,127527
62,37,112422
56,20,178647
44,21,72915
60,0,124618
44,0,194678
58,30,163348
44,8,101160
60,5,102843
49,16,85742
40,18,159712
51,25,157073
42,9,171827
45,17,176757
42,10,48580
47,22,153169
57,18,67150
47,7,124108
54,9,104717
57,33,71672
25,3,115070
30,6,59554
29,3,70889
23,1,94226
50,11,152776
44,4,77263
27,4,77534
64,16,129538
57,17,53267
42,15,88628
43,3,156230
30,6,149249
55,5,194837
47,19,87797
22,0,102717
57,30,120000
26,1,109127
62,19,94278
43,17,66030
25,0,161045
23,0,78313
37,2,126095
37,1,175538
43,8,198946
64,21,57188
22,0,99811
36,2,151960
45,11,37544
25,3,195003
39,7,116107
38,5,175160
28,0,158177
31,7,35731
22,0,144656
23,0,54943
43,11,193349
53,28,51690
50,8,128312
56,33,61412
38,7,69732
33,5,195656
45,4,190378
51,13,34800
51,16,130253
41,1,125286
63,25,47023
28,6,70044
63,17,151452
59,34,108429
28,3,128726
51,1,150387
33,11,64240
52,13,83868
39,14,146448
64,12,36438
23,0,103855
54,16,41994
32,4,101294
55,32,153550
37,6,44750
56,19,40367
54,11,132456
42,10,171763
41,7,123113
29,6,184678
47,25,37352
54,19,188407
47,12,154190
58,8,187495
51,17,121158
52,1,36790
54,21,164173
32,5,118530
62,3,72708
26,3,61254
23,1,60337
34,4,84225
39,1,138418
47,12,51238
46,11,170038
35,7,116601
26,4,76253
63,21,192403
23,1,93707
25,0,56912
33,5,81966
32,6,198858
25,1,100790
64,13,172389
30,2,105546
31,0,194329
48,19,51552
27,0,162617
36,8,59959
63,21,54148
52,28,83374
43,10,80545
27,0,121808
54,2,175603
50,15,153506
42,20,173470
51,22,167929
42,9,99968
57,1,192960
43,21,105389
41,19,135890
43,3,149208
61,14,158151
32,1,42126
52,30,111270
61,5,84479
34,1,132013
39,14,162806
43,16,58926
38,12,33464
59,6,118635
46,19,56832
53,1,153892
36,2,30583
34,5,63562
47,25,144204
32,4,179718
34,11,57824
54,28,110276
58,24,175266
59,3,83868
22,0,158727
60,10,178985
48,20,193173
57,1,76385
53,25,154287
62,39,100536
36,5,94850
52,29,66556
27,1,172692
46,10,67930
39,8,133527
43,2,188794
52,21,174090
57,11,110624
30,0,42102
24,0,81388
54,8,94205
48,5,95910
64,28,95189
22,0,174996
30,5,131525
26,0,192982
36,0,148108
30,2,166068
49,27,165355
34,6,181109
45,22,144562
31,0,165593
63,5,126403
43,10,53599
60,7,45683
43,10,122957
58,13,194936
60,11,59192
41,11,93181
31,9,70888
31,4,35723
47,14,52846
46,20,56959
49,19,109072
34,5,135454
36,0,148845
27,3,139352
33,4,168606
40,1,37297
53,31,64746
32,1,135939
59,28,67789
54,12,152567
23,0,132475
36,7,46401
57,35,45033
26,0,142421
36,14,37726
64,22,129933
31,9,117229
38,11,136906
55,1,135043
45,7,170914
31,1,91573
51,1,64746
24,0,129818
58,25,88991
24,1,46761
61,39,183637
26,1,172801
49,9,33420
35,12,55076
60,0,170329
32,3,118833
29,1,65046
58,0,44745
29,4,74910
33,5,75570
36,2,136065
40,1,112933
49,6,139768
28,3,117475
61,2,136782
28,4,76150
51,19,164144
39,9,121867
45,2,88863
27,0,159994
25,2,149254
24,2,127502
27,4,142803
47,3,126894
59,14,109989
32,10,93993
50,10,59358
41,19,43642
31,9,139524
47,5,154149
48,17,167882
35,5,87343
57,22,141665
33,3,101462
44,11,129704
42,18,119680
29,5,155609
60,9,124928
30,0,63303
45,11,38233
52,12,73394
46,2,85550
38,1,159222
63,3,79636
50,13,32233
24,1,180316
42,18,115344
29,0,190688
35,10,128881
60,1,127074
37,12,47576
39,13,176951
52,30,129549
32,8,99586
59,3,31165
41,2,126916
25,3,156416
41,14,124229
52,15,32804
41,8,143693
32,0,188263
22,0,137840
39,15,42790
60,32,82583
54,17,41229
57,8,83800
39,6,115357
52,21,145863
56,12,174149
60,36,96777
59,18,87042
36,4,59533
27,4,35330
29,5,133213
61,14,140711
43,0,121153
22,0,88040
34,6,188754
45,15,70286
42,14,34892
64,24,188490
25,1,149361
28,2,80421
33,5,59304
34,0,100116
37,6,194418
27,1,183865
35,10,72340
52,11,169260
57,0,144878
58,4,181191
62,31,45932
56,13,180042
31,6,179835
38,10,94118
63,16,65597
51,4,56059
28,3,199444
39,5,53284
40,9,61056
36,1,47490
60,29,67698
43,17,60063
60,16,100585
63,11,152274
51,18,54366
41,1,197860
53,11,146918
63,36,84523
46,22,85364
44,4,107314
26,1,97712
62,14,161047
51,9,129861
60,21,163980
48,3,188032
63,4,189395
58,0,61222
28,5,176397
26,0,163774
36,9,146525
63,2,49363
29,6,78873
30,0,124512
32,5,151898
43,7,131409
55,0,124262
56,34,135037
34,8,30273
32,6,145305
53,16,127747
63,15,75612
36,0,173315
59,9,67975
22,0,92453
45,2,115129
64,24,147848
61,25,157427
43,14,94894
24,0,39931
35,12,76902
23,0,152006
53,0,164714
59,18,39250
54,21,110011
63,29,49127
27,2,121191
62,36,112571
60,35,116844
46,17,125928
55,28,90973
32,5,192957
58,36,60863
62,11,183972
28,0,124184
43,5,53607
60,37,172961
31,9,118544
42,13,98174
27,2,151891
22,0,43481
55,25,68749
35,0,183881
57,14,183879
48,26,43174
30,3,182712
27,3,30520
52,21,96900
38,5,39635
64,0,55307
57,9,59579
42,14,112989
48,11,68382
62,22,38435
49,16,71791
37,5,151508
56,4,95710
57,16,126456
56,29,189608
40,14,121577
42,0,153589
54,8,37274
44,0,105853
27,3,77030
53,7,188156
43,2,95404
24,1,171097
56,10,188479
37,7,88790
63,35,50348
46,0,89611
38,5,96159
60,12,83399
34,6,178481
49,22,92875
32,2,175926
31,1,65232
60,38,173873
45,23,104289
59,10,114797
45,2,97053
54,22,193236
38,16,61393
57,7,159031
56,33,76724
27,4,78129
37,15,152891
49,23,100706
62,0,170264
53,23,50902
47,18,141102
32,1,73771
46,13,136360
52,3,74293
42,3,159734
24,2,43926
33,6,180376
61,13,44203
62,34,61441
46,11,49713
38,10,174354
59,35,117111
57,35,47225
57,5,150338
40,18,119172
23,1,82153
38,14,57310
51,22,78519
31,7,124726
56,10,61460
57,6,106400
54,24,37001
22,0,133829
39,1,63764
25,2,113147
48,7,152736
46,15,69027
49,17,179615
43,19,40346
63,13,33246
46,2,90853
38,12,99935
33,9,155673
37,4,153786
58,32,43214
37,15,80593
38,5,31864
52,25,157967
36,8,130912
34,4,101912
61,21,73032
48,9,71004
42,1,136300
23,0,132788
29,2,126329
63,10,44552
28,5,198613
31,7,132190
25,1,160865
64,0,196540
62,3,107608
57,11,90796
56,13,172465
64,39,91688
24,1,30432
39,17,173562
64,8,128269
45,20,126749
53,14,146582
55,8,32677
23,0,126457
23,0,175171
31,4,147436
44,2,183093
36,4,128004
33,4,128987
64,31,46866
38,8,136072
39,6,31969
35,11,94782
38,4,182262
36,14,50183
33,11,107079
37,3,172644
53,4,102992
44,13,170091
59,23,128469
55,12,149166
55,0,185846
37,4,118274
55,0,61932
61,8,87369
28,0,193495
54,13,177530
25,0,152157
64,17,86613
28,5,109178
39,4,66109
25,1,158964
32,2,150706
64,8,38189
41,14,107455
32,7,104143
36,5,179892
38,4,37459
55,6,158835
33,3,102998
63,23,50132
49,22,33864
56,12,190149
29,0,89282
48,24,58606
43,4,117019
45,16,132311
23,0,198444
52,13,199353
43,10,115408
22,0,74084
35,6,61278
46,8,175761
57,25,41990
57,12,144999
62,0,114584
24,2,97943
26,0,41012
22,0,50979
40,7,59923
54,28,128457
63,29,53561
51,14,124672
33,5,97289
31,6,69789
55,6,122599
37,7,39066
61,8,143289
50,24,121593
36,1,124892
32,10,58743
55,1,73289
57,10,177071
51,19,168092
56,5,41497
30,6,74834
39,2,185980
40,15,155170
60,19,69515
25,3,172580
27,4,89737
54,2,136313
53,10,126928
37,6,90945
32,1,64857
43,0,38004
57,16,89609
44,7,87442
47,23,72372
52,17,103878
50,26,189425
26,2,52142
59,4,195280
46,19,31769
55,24,105694
33,6,151007
43,5,119633
30,2,62209
41,18,173117
50,2,45284
50,25,166748
48,6,136037
38,3,78016
26,3,35782
34,7,136944
63,0,42432
36,8,62468
36,0,74543
39,11,140611
23,1,123032
44,17,134099
64,23,91632
34,6,45059
64,25,166133
25,3,111289
46,24,132746
32,0,137628
63,24,132316
33,3,183278
34,11,194915
30,6,51467
59,9,154946
27,0,106859
64,36,167457
64,32,99372
31,6,172400
44,11,95293
36,5,174225
44,1,84252
61,19,32570
58,18,139709
55,16,123078
37,9,147324
62,2,37883
53,28,37930
59,27,144636
61,25,48855
26,1,33649
38,9,179505
43,19,112858
60,12,41389
62,14,83576
39,13,151473
49,11,158260
34,0,199949
63,19,166076
22,0,199389
40,5,91109
55,29,109165
25,1,43882
64,8,170020
24,0,133758
62,24,155410
31,2,130044
49,13,70363
55,7,135158
60,5,137565
40,9,117583
63,9,111674
57,16,55343
64,13,89155
24,1,88323
44,21,120314
38,4,70567
28,6,118579
47,23,80078
64,21,151578
39,17,58820
27,5,166562
52,10,107879
50,8,75916
30,2,82480
56,6,150609
38,16,195714
33,8,158810
57,2,129152
45,17,140144
31,7,39549
51,19,157960
50,21,122674
60,6,81317
31,9,63591
60,26,110883
49,4,31881
39,7,70049
62,19,75458
38,2,44653
32,10,159463
22,0,121455
38,8,83022
57,14,96436
57,12,43374
30,8,191600
49,10,146751
54,15,52461
24,0,156588
29,4,90539
27,3,148948
27,1,76536
50,28,176755
58,23,120870
33,10,170239
30,0,124513
62,23,155544
40,17,149190
38,7,48920
53,14,47668
56,15,157443
35,4,95077
37,6,78749
42,1,108319
33,11,135012
45,7,131374
55,4,102512
29,1,39960
42,11,127552
29,7,49103
49,12,185486
37,0,38333
31,5,127352
36,11,39952
25,2,54273
47,11,78943
36,13,110532
57,29,149521
53,24,69981
64,36,152318
59,17,184908
25,3,108844
62,21,72969
30,7,101610
56,25,58952
49,18,87347
58,17,52578
30,5,189671
23,0,127308
24,1,62206
26,1,144885
31,6,70450
49,11,180487
36,9,40800
35,7,46645
44,8,30236
34,6,72740
37,12,174097
51,29,196957
61,38,100409
29,6,45263
38,2,131862
51,13,163053
38,6,117069
56,17,113658
22,0,109534
45,2,179326
46,5,121218
23,1,34604
46,9,84705
35,5,34340
60,1,41007
54,0,115849
38,10,92609
52,29,152484
31,9,71686
27,2,199566
60,32,141123
46,2,156827
59,21,30032
58,11,147148
51,24,152363
55,25,119850
39,4,194465
45,10,59996
48,25,159101
48,11,77836
60,36,188142
42,12,158167
40,12,170696
60,19,120830
44,14,161884
60,11,71159
36,1,126396
64,15,70001
23,0,169710
56,29,70141
41,8,191444
49,4,112470
36,3,61221
37,11,115009
54,7,101146
33,4,199804
60,11,154835
60,24,90198
64,7,49807
41,9,164064
50,1,195613
64,42,165153
24,1,190848
26,4,98125
23,0,106788
44,7,73201
47,25,181390
47,5,147929
28,3,134614
31,1,88838
26,2,49172
33,5,123865
53,19,67709
63,13,176713
52,22,98269
43,1,109440
38,14,132313
41,18,41094
41,13,115846
64,14,131085
29,7,62772
55,14,83196
44,3,142704
59,1,133197
49,0,79888
34,8,59236
50,20,187041
29,1,138603
32,7,120967
39,16,30783
46,11,97203
43,5,37349
56,9,115898
50,3,137847
42,2,190712
28,2,30513
33,11,155928
57,35,114104
45,14,103924
53,5,163519
48,17,168336
53,17,109225
53,20,33188
53,10,38415
47,6,100432
32,5,59342
39,8,97399
60,11,31141
26,3,146256
37,14,76566
32,4,110247
56,17,42961
32,10,49133
63,41,173816
44,21,158740
55,31,196018
38,1,78401
31,1,142552
39,15,85726
29,3,163500
47,20,157168
24,0,138372
45,20,109297
24,2,95739
59,1,38518
23,1,132721
56,21,129190
38,4,183842
30,3,132330
57,28,159640
43,14,106508
52,14,63489
55,8,30805
45,18,37808
30,6,165756
64,25,140784
23,1,68874
42,13,82422
55,12,118116
48,6,199354
58,29,39174
28,0,45937
43,3,127839
25,2,103577
35,0,132225
55,2,39405
44,20,142804
63,22,128104
46,4,176137
22,0,187040
36,14,129333
53,4,61087
35,0,120511
62,23,58234
42,10,129813
28,5,186640
57,33,145820
42,1,196434
61,2,76960
33,0,81227
36,14,182700
36,2,179979
38,15,90513
55,11,132680
56,8,162866
60,4,49440
59,19,174562
35,2,156322
26,2,42744
51,14,170683
25,1,41561
36,1,165504
60,27,136015
56,1,157628
31,9,136676
23,1,59237
45,7,183406
49,18,177784
43,3,61469
53,13,97994
52,24,164082
40,12,35362
42,16,44199
24,2,139524
27,5,32951
53,5,178105
23,1,52163
45,5,88986
48,1,86872
30,3,73151
34,1,37189
35,3,41068
32,6,91142
35,9,107952
37,11,38748
31,5,171306
41,4,103389
37,12,154149
55,11,58158
37,0,109435
35,9,119730
49,20,86002
39,5,69587
47,18,64873
59,31,65132
28,6,41209
55,15,89385
28,2,106322
54,8,157583
56,23,110821
60,22,47998
42,6,73133
49,7,68256
53,9,113477
37,5,167566
31,2,177977
44,20,149657
36,11,40998
64,28,138019
27,1,140250
54,12,136726
60,33,116131
33,9,154370
57,11,57145
52,0,90871
31,4,139112
55,23,180430
62,30,144331
31,3,115847
32,5,34389
35,3,147065
24,0,78660
54,14,119785
28,3,80346
25,3,104132
60,5,84803
31,8,90588
36,5,154164
37,1,104690
59,30,95430
25,3,61352
25,0,195141
57,3,41026
48,17,91549
43,14,103253
43,1,117965
38,16,137450
55,11,130258
53,24,175012
27,4,115191
54,31,42588
29,1,174048
57,32,62229
26,1,163987
26,1,77371
31,6,157921
61,2,149246
28,0,77074
33,0,34384
51,15,183407
46,3,147937
49,4,50965
64,25,175209
34,1,164099
43,11,165228
39,17,104378
48,7,199747
29,2,65307
27,5,55387
32,1,63062
50,27,156105
62,31,104216
26,3,154414
28,5,73911
43,8,156790
25,2,90298
53,25,65485
40,15,113733
54,12,135368
22,0,62225
62,28,117326
62,16,106170
29,2,93792
53,9,34455
51,6,122550
49,6,190996
62,9,50417
53,9,74348
46,5,143580
55,32,66733
54,1,140085
34,10,62832
46,3,90002
63,38,144817
61,18,183315
60,16,154266
31,2,161668
52,11,129613
32,8,120142
46,21,169792
55,9,109385
41,5,79886
28,1,139862
